a	a˧˧
cộng sản chủ nghĩa	koŋ͡m˨ˀ˩ʔsan˧˩˨cu˧˩˨ŋiə˧ˀ˥
cộng sản nguyên thuỷ	koŋ͡m˨ˀ˩ʔsan˧˩˨ŋwiən˧˧tʰwi˧˩˨
cộng sổ	koŋ͡m˨ˀ˩ʔso˧˩˨
cộng sự	koŋ͡m˨ˀ˩ʔsɯ˨ˀ˩ʔ
cộng tác	koŋ͡m˨ˀ˩ʔtak˦˥
cộng tác viên	koŋ͡m˨ˀ˩ʔtak˦˥viən˧˧
cộng tồn	koŋ͡m˨ˀ˩ʔton˧˨
cộng tồn cộng vinh	koŋ͡m˨ˀ˩ʔton˧˨koŋ͡m˨ˀ˩ʔviŋ˧˧
cộng đồng	koŋ͡m˨ˀ˩ʔdoŋ͡m˧˨
cộng đồng tộc người	koŋ͡m˨ˀ˩ʔdoŋ͡m˧˨tok͡p˨ˀ˩ŋɯəj˧˨
cộp	kop˨ˀ˩
cột	kot˨ˀ˩
cột buồm	kot˨ˀ˩buəm˧˨
cột báo	kot˨ˀ˩baw˨˦
cột chống	kot˨ˀ˩coŋ͡m˨˦
cột con	kot˨ˀ˩kɔn˧˧
cột cái	kot˨ˀ˩kaj˨˦
cột cây số	kot˨ˀ˩kɤ̆j˧˧so˨˦
cột cờ	kot˨ˀ˩kɤ˧˨
cột dây thép	kot˨ˀ˩zɤ̆j˧˧tʰɛp˦˥
cột gôn	kot˨ˀ˩ɣon˧˧
cột hiệu	kot˨ˀ˩hiəw˨ˀ˩ʔ
cột ki-lô-mét	kot˨ˀ˩ki˧˧-lo˧˧-mɛt˦˥
cột lái	kot˨ˀ˩laj˨˦
cột lòng	kot˨ˀ˩lɔŋ͡m˧˨
cột mũi	kot˨ˀ˩muj˧ˀ˥
cột mốc	kot˨ˀ˩mok͡p˦˥
cột mốt	kot˨ˀ˩mot˦˥
cột mỡ	kot˨ˀ˩mɤ˧ˀ˥
cột ngắm	kot˨ˀ˩ŋăm˨˦
cột nhà cháy	kot˨ˀ˩ɲa˧˨căj˨˦
cột phướn	kot˨ˀ˩fɯən˨˦
cột số	kot˨ˀ˩so˨˦
cột sống	kot˨ˀ˩soŋ͡m˨˦
cột thu lôi	kot˨ˀ˩tʰu˧˧loj˧˧
cột tháp	kot˨ˀ˩tʰap˦˥
cột trụ	kot˨ˀ˩cu˨ˀ˩ʔ
cột tín hiệu	kot˨ˀ˩tin˨˦hiəw˨ˀ˩ʔ
cột tủy	kot˨ˀ˩tuj˧˩˨
cột xăng	kot˨ˀ˩săŋ˧˧
cột điện	kot˨ˀ˩diən˨ˀ˩ʔ
cột đèn	kot˨ˀ˩dɛn˧˨
cột đồng trụ	kot˨ˀ˩doŋ͡m˧˨cu˨ˀ˩ʔ
cột đổ nhà xiêu	kot˨ˀ˩do˧˩˨ɲa˧˨siəw˧˧
cột ốp	kot˨ˀ˩op˦˥
cớ	kɤ˨˦
cớ chi	kɤ˨˦ci˧˧
cớ gì	kɤ˨˦ɣi˧˨
cớ sao	kɤ˨˦saw˧˧
cớ sự	kɤ˨˦sɯ˨ˀ˩ʔ
cớm	kɤm˨˦
cớn	kɤn˨˦
cớn non	kɤn˨˦nɔn˧˧
cớt nhả	kɤt˦˥ɲa˧˩˨
cờ	kɤ˧˨
cờ bí nhắc xe	kɤ˧˨bi˨˦ɲăk˦˥sɛ˧˧
cờ bạc	kɤ˧˨bak˨ˀ˩
cờ bạc canh đỏ canh đen	kɤ˧˨bak˨ˀ˩kɛŋ˧˧dɔ˧˩˨kɛŋ˧˧dɛn˧˧
cờ bạc khát nước	kɤ˧˨bak˨ˀ˩xat˦˥nɯək˦˥
cờ bạc là bác thằng bần	kɤ˧˨bak˨ˀ˩la˧˨bak˦˥tʰăŋ˧˨bɤ̆n˧˨
cờ bạc về sáng	kɤ˧˨bak˨ˀ˩ve˧˨saŋ˨˦
cờ bỏi	kɤ˧˨bɔj˧˩˨
cờ cao đế thích	kɤ˧˨kaw˧˧de˨˦tʰik˦˥
cờ chiếu tướng	kɤ˧˨ciəw˨˦tɯəŋ˨˦
cờ chân chó	kɤ˧˨cɤ̆n˧˧cɔ˨˦
cờ chó	kɤ˧˨cɔ˨˦
cờ gian bạc bịp	kɤ˧˨zan˧˧bak˨ˀ˩bip˨ˀ˩
cờ gian bạc lận	kɤ˧˨zan˧˧bak˨ˀ˩lɤ̆n˨ˀ˩ʔ
cờ giong trống giục	kɤ˧˨zɔŋ͡m˧˧coŋ͡m˨˦zuk͡p˨ˀ˩
cờ giong trống mở	kɤ˧˨zɔŋ͡m˧˧coŋ͡m˨˦mɤ˧˩˨
cờ gánh	kɤ˧˨ɣɛŋ˨˦
cờ hiệu	kɤ˧˨hiəw˨ˀ˩ʔ
cờ hoà bình	kɤ˧˨hwa˧˨biŋ˧˨
cờ lao	kɤ˧˨law˧˧
cờ lao trắng	kɤ˧˨law˧˧căŋ˨˦
cờ lao xanh	kɤ˧˨law˧˧sɛŋ˧˧
cờ lao đỏ	kɤ˧˨law˧˧dɔ˧˩˨
cờ lau	kɤ˧˨lăw˧˧
cờ lá chuối	kɤ˧˨la˨˦cuəj˨˦
cờ lâm nước bí	kɤ˧˨lɤ̆m˧˧nɯək˦˥bi˨˦
cờ lâm thế bí	kɤ˧˨lɤ̆m˧˧tʰe˨˦bi˨˦
cờ lê	kɤ˧˨le˧˧
cờ lông công	kɤ˧˨loŋ͡m˧˧koŋ͡m˧˧
cờ lệnh	kɤ˧˨leŋ˨ˀ˩ʔ
cờ mao	kɤ˧˨maw˧˧
cờ mở trống giong	kɤ˧˨mɤ˧˩˨coŋ͡m˨˦zɔŋ͡m˧˧
cờ nghĩa	kɤ˧˨ŋiə˧ˀ˥
cờ ngoài bài trong	kɤ˧˨ŋwaj˧˨baj˧˨cɔŋ͡m˧˧
cờ ngũ bành	kɤ˧˨ŋu˧ˀ˥bɛŋ˧˨
cờ người	kɤ˧˨ŋɯəj˧˨
cờ phất trống rung	kɤ˧˨fɤ̆t˦˥coŋ͡m˨˦zuŋ͡m˧˧
cờ quạt	kɤ˧˨kwat˨ˀ˩
cờ quốc tế	kɤ˧˨kwok͡p˦˥te˨˦
cờ rong trống nổi	kɤ˧˨zɔŋ͡m˧˧coŋ͡m˨˦noj˧˩˨
cờ rủ	kɤ˧˨zu˧˩˨
cờ tam tài	kɤ˧˨tam˧˧taj˧˨
cờ tiên rượu thánh	kɤ˧˨tiən˧˧zɯəw˨ˀ˩ʔtʰɛŋ˨˦
cờ trắng	kɤ˧˨căŋ˨˦
cờ tướng	kɤ˧˨tɯəŋ˨˦
cờ vua	kɤ˧˨vuə˧˧
cờ vàng	kɤ˧˨vaŋ˧˨
cờ vây	kɤ˧˨vɤ̆j˧˧
cờ vía	kɤ˧˨viə˨˦
cờ vỉ	kɤ˧˨vi˧˩˨
cờ xí	kɤ˧˨si˨˦
cờ đen	kɤ˧˨dɛn˧˧
cờ đuôi nheo	kɤ˧˨duəj˧˧ɲeo˧˧
cờ đào	kɤ˧˨daw˧˨
cờ đâm	kɤ˧˨dɤ̆m˧˧
cờ đã đến tay	kɤ˧˨da˧ˀ˥den˨˦tăj˧˧
cờ đến tay ai người ấy phất	kɤ˧˨den˨˦tăj˧˧aj˧˧ŋɯəj˧˨ɤ̆j˨˦fɤ̆t˦˥
cờ đỏ búa liềm	kɤ˧˨dɔ˧˩˨buə˨˦liəm˧˨
cờ đỏ sao vàng	kɤ˧˨dɔ˧˩˨saw˧˧vaŋ˧˨
cờ-lê	kɤ˧˨-le˧˧
cờ-lếp	kɤ˧˨-lep˦˥
cờ-ra-vát	kɤ˧˨-za˧˧-vat˦˥
cờ-rếp	kɤ˧˨-zep˦˥
cời	kɤj˧˨
cờn cợn	kɤn˧˨kɤn˨ˀ˩ʔ
cởi	kɤj˧˩˨
cởi bỏ	kɤj˧˩˨bɔ˧˩˨
cởi lốt	kɤj˧˩˨lot˦˥
cởi mở	kɤj˧˩˨mɤ˧˩˨
cởi truồng	kɤj˧˩˨cuəŋ˧˨
cởi trần	kɤj˧˩˨cɤ̆n˧˨
cởi áo cho người xem lưng	kɤj˧˩˨aw˨˦cɔ˧˧ŋɯəj˧˨sɛm˧˧lɯŋ˧˧
cỡ	kɤ˧ˀ˥
cỡi	kɤj˧ˀ˥
cỡn	kɤn˧ˀ˥
cỡn cờ	kɤn˧ˀ˥kɤ˧˨
cợn	kɤn˨ˀ˩ʔ
cợp	kɤp˨ˀ˩
cợt	kɤt˨ˀ˩
cợt ghẹo	kɤt˨ˀ˩ɣeo˨ˀ˩ʔ
cợt nguyệt cười hoa	kɤt˨ˀ˩ŋwiət˨ˀ˩kɯəj˧˨hwa˧˧
cợt nhả	kɤt˨ˀ˩ɲa˧˩˨
cợt nhợt	kɤt˨ˀ˩ɲɤt˨ˀ˩
cụ	ku˨ˀ˩ʔ
cụ bà	ku˨ˀ˩ʔba˧˨
cụ bị	ku˨ˀ˩ʔbi˨ˀ˩ʔ
cụ cố	ku˨ˀ˩ʔko˨˦
cụ cựa	ku˨ˀ˩ʔkɯə˨ˀ˩ʔ
cụ già	ku˨ˀ˩ʔza˧˨
cụ kị	ku˨ˀ˩ʔki˨ˀ˩ʔ
cụ lớn	ku˨ˀ˩ʔlɤn˨˦
cụ ngoại	ku˨ˀ˩ʔŋwaj˨ˀ˩ʔ
cụ nhà	ku˨ˀ˩ʔɲa˧˨
cụ non	ku˨ˀ˩ʔnɔn˧˧
cụ nội	ku˨ˀ˩ʔnoj˨ˀ˩ʔ
cụ thể	ku˨ˀ˩ʔtʰe˧˩˨
cụ thể hoá	ku˨ˀ˩ʔtʰe˧˩˨hwa˨˦
cụ thể hóa	ku˨ˀ˩ʔtʰe˧˩˨hwa˨˦
cụ tượng	ku˨ˀ˩ʔtɯəŋ˨ˀ˩ʔ
cụ ông	ku˨ˀ˩ʔoŋ͡m˧˧
cục	kuk͡p˨ˀ˩
cục bộ	kuk͡p˨ˀ˩bo˨ˀ˩ʔ
cục cưng	kuk͡p˨ˀ˩kɯŋ˧˧
cục cằn	kuk͡p˨ˀ˩kăn˧˨
cục cục	kuk͡p˨ˀ˩kuk͡p˨ˀ˩
cục cựa	kuk͡p˨ˀ˩kɯə˨ˀ˩ʔ
cục diện	kuk͡p˨ˀ˩ziən˨ˀ˩ʔ
cục kịch	kuk͡p˨ˀ˩kik˨ˀ˩
cục mịch	kuk͡p˨ˀ˩mik˨ˀ˩
cục ngoại	kuk͡p˨ˀ˩ŋwaj˨ˀ˩ʔ
cục phó	kuk͡p˨ˀ˩fɔ˨˦
cục súc	kuk͡p˨ˀ˩suk͡p˦˥
cục thế	kuk͡p˨ˀ˩tʰe˨˦
cục thịt	kuk͡p˨ˀ˩tʰit˨ˀ˩
cục trưởng	kuk͡p˨ˀ˩cɯəŋ˧˩˨
cục tác	kuk͡p˨ˀ˩tak˦˥
cục tính	kuk͡p˨ˀ˩tiŋ˨˦
cụm	kum˨ˀ˩ʔ
cụm cứ điểm	kum˨ˀ˩ʔkɯ˨˦diəm˧˩˨
cụm nhọt	kum˨ˀ˩ʔɲɔt˨ˀ˩
cụm từ	kum˨ˀ˩ʔtɯ˧˨
cụng	kuŋ͡m˨ˀ˩ʔ
cụng li	kuŋ͡m˨ˀ˩ʔli˧˧
cụng đầu	kuŋ͡m˨ˀ˩ʔdɤ̆w˧˨
cụp	kup˨ˀ˩
cụp tai	kup˨ˀ˩taj˧˧
cụp đuôi	kup˨ˀ˩duəj˧˧
cụt	kut˨ˀ˩
cụt chân	kut˨ˀ˩cɤ̆n˧˧
cụt hứng	kut˨ˀ˩hɯŋ˨˦
cụt lổng	kut˨ˀ˩loŋ͡m˧˩˨
cụt lủn	kut˨ˀ˩lun˧˩˨
cụt ngòi	kut˨ˀ˩ŋɔj˧˨
cụt ngủn	kut˨ˀ˩ŋun˧˩˨
cụt tay	kut˨ˀ˩tăj˧˧
cụt thun lủn	kut˨ˀ˩tʰun˧˧lun˧˩˨
củ	ku˧˩˨
củ bình vôi	ku˧˩˨biŋ˧˨voj˧˧
củ chi	ku˧˩˨ci˧˧
củ chuối	ku˧˩˨cuəj˨˦
củ chính	ku˧˩˨ciŋ˨˦
củ chóc	ku˧˩˨cɔk͡p˦˥
củ cái	ku˧˩˨kaj˨˦
củ cải	ku˧˩˨kaj˧˩˨
củ cải đường	ku˧˩˨kaj˧˩˨dɯəŋ˧˨
củ cẩm	ku˧˩˨kɤ̆m˧˩˨
củ dong	ku˧˩˨zɔŋ͡m˧˧
củ gấu	ku˧˩˨ɣɤ̆w˨˦
củ hành	ku˧˩˨hɛŋ˧˨
củ hợp	ku˧˩˨hɤp˨ˀ˩
củ khoai	ku˧˩˨xwaj˧˧
củ khỉ	ku˧˩˨xi˧˩˨
củ mài	ku˧˩˨maj˧˨
củ mã tiền	ku˧˩˨ma˧ˀ˥tiən˧˨
củ mì	ku˧˩˨mi˧˨
củ mật	ku˧˩˨mɤ̆t˨ˀ˩
củ mỉ	ku˧˩˨mi˧˩˨
củ mỉ cù mì	ku˧˩˨mi˧˩˨ku˧˨mi˧˨
củ mỡ	ku˧˩˨mɤ˧ˀ˥
củ niễng	ku˧˩˨niəŋ˧ˀ˥
củ nâu	ku˧˩˨nɤ̆w˧˧
củ não	ku˧˩˨naw˧ˀ˥
củ năn	ku˧˩˨năn˧˧
củ nưa	ku˧˩˨nɯə˧˧
củ ráy	ku˧˩˨zăj˨˦
củ rủ	ku˧˩˨zu˧˩˨
củ rủ cù rù	ku˧˩˨zu˧˩˨ku˧˨zu˧˨
củ soát	ku˧˩˨swat˦˥
củ sát	ku˧˩˨sat˦˥
củ tía	ku˧˩˨tiə˨˦
củ tỉ	ku˧˩˨ti˧˩˨
củ tỏi	ku˧˩˨tɔj˧˩˨
củ từ	ku˧˩˨tɯ˧˨
củ vạc	ku˧˩˨vak˨ˀ˩
củ vấn	ku˧˩˨vɤ̆n˨˦
củ đao	ku˧˩˨daw˧˧
củ đậu	ku˧˩˨dɤ̆w˨ˀ˩ʔ
củ ấu	ku˧˩˨ɤ̆w˨˦
của	kuə˧˩˨
của ai phúc nấy	kuə˧˩˨aj˧˧fuk͡p˦˥nɤ̆j˨˦
của ai tai nấy	kuə˧˩˨aj˧˧taj˧˧nɤ̆j˨˦
của anh anh mang, của nàng nàng gánh	kuə˧˩˨ɛŋ˧˧ɛŋ˧˧maŋ˧˧kuə˧˩˨naŋ˧˨naŋ˧˨ɣɛŋ˨˦
của anh như của chú	kuə˧˩˨ɛŋ˧˧ɲɯ˧˧kuə˧˩˨cu˨˦
của bền tại người	kuə˧˩˨ben˧˨taj˨ˀ˩ʔŋɯəj˧˨
của bụt trả bụt	kuə˧˩˨but˨ˀ˩ca˧˩˨but˨ˀ˩
của chua ai thấy chẳng thèm	kuə˧˩˨cuə˧˧aj˧˧tʰɤ̆j˨˦căŋ˧˩˨tʰɛm˧˨
của chung thiên hạ đồng lần	kuə˧˩˨cuŋ͡m˧˧tʰiən˧˧ha˨ˀ˩ʔdoŋ͡m˧˨lɤ̆n˧˨
của chìm	kuə˧˩˨cim˧˨
của chìm của nổi	kuə˧˩˨cim˧˨kuə˧˩˨noj˧˩˨
của chồng công vợ	kuə˧˩˨coŋ͡m˧˨koŋ͡m˧˧vɤ˨ˀ˩ʔ
của chợ bỏ chợ	kuə˧˩˨cɤ˨ˀ˩ʔbɔ˧˩˨cɤ˨ˀ˩ʔ
của công	kuə˧˩˨koŋ͡m˧˧
của cải	kuə˧˩˨kaj˧˩˨
của cải quốc dân	kuə˧˩˨kaj˧˩˨kwok͡p˦˥zɤ̆n˧˧
của cấm	kuə˧˩˨kɤ̆m˨˦
của dâng tận miệng	kuə˧˩˨zɤ̆ŋ˧˧tɤ̆n˨ˀ˩ʔmiəŋ˨ˀ˩ʔ
của gian của độc	kuə˧˩˨zan˧˧kuə˧˩˨dok͡p˨ˀ˩
của giời ơi	kuə˧˩˨zɤj˧˨ɤj˧˧
của giời ơi đất hỡi	kuə˧˩˨zɤj˧˨ɤj˧˧dɤ̆t˦˥hɤj˧ˀ˥
của hiếm	kuə˧˩˨hiəm˨˦
của hương hoả	kuə˧˩˨hɯəŋ˧˧hwa˧˩˨
của hương hỏa	kuə˧˩˨hɯəŋ˧˧hwa˧˩˨
của hồi môn	kuə˧˩˨hoj˧˨mon˧˧
của kho không lo cũng hết	kuə˧˩˨xɔ˧˧xoŋ͡m˧˧lɔ˧˧kuŋ͡m˧ˀ˥het˦˥
của làm, ăn no; của cho, ăn thêm	kuə˧˩˨lam˧˨ăn˧˧nɔ˧˧kuə˧˩˨cɔ˧˧ăn˧˧tʰem˧˧
của lạ	kuə˧˩˨la˨ˀ˩ʔ
của mình thì giữ bo bo, của người thì thả cho bò nó ăn	kuə˧˩˨miŋ˧˨tʰi˧˨zɯ˧ˀ˥bɔ˧˧bɔ˧˧kuə˧˩˨ŋɯəj˧˨tʰi˧˨tʰa˧˩˨cɔ˧˧bɔ˧˨nɔ˨˦ăn˧˧
của mình thì để, của rể thì bòn	kuə˧˩˨miŋ˧˨tʰi˧˨de˧˩˨kuə˧˩˨ze˧˩˨tʰi˧˨bɔn˧˨
của mòn con lớn	kuə˧˩˨mɔn˧˨kɔn˧˧lɤn˨˦
của một đồng công một nén	kuə˧˩˨mot˨ˀ˩doŋ͡m˧˨koŋ͡m˧˧mot˨ˀ˩nɛn˨˦
của ngon vật lạ	kuə˧˩˨ŋɔn˧˧vɤ̆t˨ˀ˩la˨ˀ˩ʔ
của người bồ tát, của ta lạt buộc	kuə˧˩˨ŋɯəj˧˨bo˧˨tat˦˥kuə˧˩˨ta˧˧lat˨ˀ˩buək˨ˀ˩
của người như của ta	kuə˧˩˨ŋɯəj˧˨ɲɯ˧˧kuə˧˩˨ta˧˧
của người phúc ta	kuə˧˩˨ŋɯəj˧˨fuk͡p˦˥ta˧˧
của như nước	kuə˧˩˨ɲɯ˧˧nɯək˦˥
của này	kuə˧˩˨năj˧˨
của nả	kuə˧˩˨na˧˩˨
của nổi	kuə˧˩˨noj˧˩˨
của nổi của chìm	kuə˧˩˨noj˧˩˨kuə˧˩˨cim˧˨
của nợ	kuə˧˩˨nɤ˨ˀ˩ʔ
của phù vân	kuə˧˩˨fu˧˨vɤ̆n˧˧
của riêng	kuə˧˩˨ziəŋ˧˧
của ruộng đắp bờ	kuə˧˩˨zuəŋ˨ˀ˩ʔdăp˦˥bɤ˧˨
của rẻ là của ôi	kuə˧˩˨zɛ˧˩˨la˧˨kuə˧˩˨oj˧˧
của rề rề không bằng nghề trong tay	kuə˧˩˨ze˧˨ze˧˨xoŋ͡m˧˧băŋ˧˨ŋe˧˨cɔŋ͡m˧˧tăj˧˧
của thiên trả địa	kuə˧˩˨tʰiən˧˧ca˧˩˨diə˨ˀ˩ʔ
của thông	kuə˧˩˨tʰoŋ͡m˧˧
của thế gian đãi người ngoan	kuə˧˩˨tʰe˨˦zan˧˧daj˧ˀ˥ŋɯəj˧˨ŋwan˧˧
của thửa	kuə˧˩˨tʰɯə˧˩˨
của tin	kuə˧˩˨tin˧˧
của trọng hơn người	kuə˧˩˨cɔŋ͡m˨ˀ˩ʔhɤn˧˧ŋɯəj˧˨
của trời trời lại lấy đi	kuə˧˩˨cɤj˧˨cɤj˧˨laj˨ˀ˩ʔlɤ̆j˨˦di˧˧
của tư	kuə˧˩˨tɯ˧˧
của yêu người ghét	kuə˧˩˨iəw˧˧ŋɯəj˧˨ɣɛt˦˥
của ít lòng nhiều	kuə˧˩˨it˦˥lɔŋ͡m˧˨ɲiəw˧˨
của ông	kuə˧˩˨oŋ͡m˧˧
của ăn của để	kuə˧˩˨ăn˧˧kuə˧˩˨de˧˩˨
của đau con xót	kuə˧˩˨dăw˧˧kɔn˧˧sɔt˦˥
của đi rề rề, của về nghễu nghện	kuə˧˩˨di˧˧ze˧˨ze˧˨kuə˧˩˨ve˧˨ŋɛu˧ˀ˥ŋen˨ˀ˩ʔ
của đi thay người	kuə˧˩˨di˧˧tʰăj˧˧ŋɯəj˧˨
của đáng tội	kuə˧˩˨daŋ˨˦toj˨ˀ˩ʔ
của đút	kuə˧˩˨dut˦˥
của đồng làm ra, của nhà làm nên	kuə˧˩˨doŋ͡m˧˨lam˧˨za˧˧kuə˧˩˨ɲa˧˨lam˧˨nen˧˧
của độc	kuə˧˩˨dok͡p˨ˀ˩
của đội nón đi	kuə˧˩˨doj˨ˀ˩ʔnɔn˨˦di˧˧
của đời muôn sự của chung	kuə˧˩˨dɤj˧˨muən˧˧sɯ˨ˀ˩ʔkuə˧˩˨cuŋ͡m˧˧
của đời người thế	kuə˧˩˨dɤj˧˨ŋɯəj˧˨tʰe˨˦
của ấy	kuə˧˩˨ɤ̆j˨˦
củi	kuj˧˩˨
củi chôm	kuj˧˩˨com˧˧
củi gộc	kuj˧˩˨ɣok͡p˨ˀ˩
củi lụt	kuj˧˩˨lut˨ˀ˩
củi lửa	kuj˧˩˨lɯə˧˩˨
củi nước	kuj˧˩˨nɯək˦˥
củi quế	kuj˧˩˨kwe˨˦
củi quế gạo châu	kuj˧˩˨kwe˨˦ɣaw˨ˀ˩ʔcɤ̆w˧˧
củi rả	kuj˧˩˨za˧˩˨
củi rều	kuj˧˩˨zɛu˧˨
củi thước	kuj˧˩˨tʰɯək˦˥
củi tạ	kuj˧˩˨ta˨ˀ˩ʔ
củi vụn	kuj˧˩˨vun˨ˀ˩ʔ
củi đuốc	kuj˧˩˨duək˦˥
củi đòn	kuj˧˩˨dɔn˧˨
củi đóm	kuj˧˩˨dɔm˨˦
củn	kun˧˩˨
củng	kuŋ͡m˧˩˨
củng cố	kuŋ͡m˧˩˨ko˨˦
củng mạc	kuŋ͡m˧˩˨mak˨ˀ˩
cứ	kɯ˨˦
cứ liệu	kɯ˨˦liəw˨ˀ˩ʔ
cứ lễ	kɯ˨˦le˧ˀ˥
cứ như	kɯ˨˦ɲɯ˧˧
cứ việc	kɯ˨˦viək˨ˀ˩
cứ điểm	kɯ˨˦diəm˧˩˨
cứa	kɯə˨˦
cứa cổ	kɯə˨˦ko˧˩˨
cức bì	kɯk˦˥bi˧˨
cứng	kɯŋ˨˦
cứng bóng vía	kɯŋ˨˦bɔŋ͡m˨˦viə˨˦
cứng cáp	kɯŋ˨˦kap˦˥
cứng cát	kɯŋ˨˦kat˦˥
cứng còng	kɯŋ˨˦kɔŋ͡m˧˨
cứng còng còng	kɯŋ˨˦kɔŋ͡m˧˨kɔŋ͡m˧˨
cứng cạy	kɯŋ˨˦kăj˨ˀ˩ʔ
cứng cỏi	kɯŋ˨˦kɔj˧˩˨
cứng cổ	kɯŋ˨˦ko˧˩˨
cứng cổ cứng đầu	kɯŋ˨˦ko˧˩˨kɯŋ˨˦dɤ̆w˧˨
cứng cựa	kɯŋ˨˦kɯə˨ˀ˩ʔ
cứng gối	kɯŋ˨˦ɣoj˨˦
cứng họng	kɯŋ˨˦hɔŋ͡m˨ˀ˩ʔ
cứng khớp	kɯŋ˨˦xɤp˦˥
cứng lưỡi	kɯŋ˨˦lɯəj˧ˀ˥
cứng miệng	kɯŋ˨˦miəŋ˨ˀ˩ʔ
cứng mình	kɯŋ˨˦miŋ˧˨
cứng ngắc	kɯŋ˨˦ŋăk˦˥
cứng như thép	kɯŋ˨˦ɲɯ˧˧tʰɛp˦˥
cứng như đá	kɯŋ˨˦ɲɯ˧˧da˨˦
cứng nhắc	kɯŋ˨˦ɲăk˦˥
cứng nhẳng	kɯŋ˨˦ɲăŋ˧˩˨
cứng quèo	kɯŋ˨˦kweo˧˨
cứng rắn	kɯŋ˨˦zăn˨˦
cứng đơ	kɯŋ˨˦dɤ˧˧
cứng đầu	kɯŋ˨˦dɤ̆w˧˨
cứng đầu cứng cổ	kɯŋ˨˦dɤ̆w˧˨kɯŋ˨˦ko˧˩˨
cứng đờ	kɯŋ˨˦dɤ˧˨
cứt	kɯt˦˥
cứt ai vừa mũi người ấy	kɯt˦˥aj˧˧vɯə˧˨muj˧ˀ˥ŋɯəj˧˨ɤ̆j˨˦
cứt cò	kɯt˦˥kɔ˧˨
cứt gián	kɯt˦˥zan˨˦
cứt lộn lên đầu	kɯt˦˥lon˨ˀ˩ʔlen˧˧dɤ̆w˧˨
cứt lợn	kɯt˦˥lɤn˨ˀ˩ʔ
cứt mũi	kɯt˦˥muj˧ˀ˥
cứt ngựa	kɯt˦˥ŋɯə˨ˀ˩ʔ
cứt nát có chóp	kɯt˦˥nat˦˥kɔ˨˦cɔp˦˥
cứt phải trời mưa	kɯt˦˥faj˧˩˨cɤj˧˨mɯə˧˧
cứt ráy	kɯt˦˥zăj˨˦
cứt su	kɯt˦˥su˧˧
cứt sắt	kɯt˦˥săt˦˥
cứt trâu	kɯt˦˥cɤ̆w˧˧
cứt trâu để lâu hoá bùn	kɯt˦˥cɤ̆w˧˧de˧˩˨lɤ̆w˧˧hwa˨˦bun˧˨
cứt đái	kɯt˦˥daj˨˦
cứt đáy	kɯt˦˥dăj˨˦
cứu	kɯw˨˦
cứu binh	kɯw˨˦biŋ˧˧
cứu bần	kɯw˨˦bɤ̆n˧˨
cứu bệnh	kɯw˨˦beŋ˨ˀ˩ʔ
cứu bệnh như cứu hoả	kɯw˨˦beŋ˨ˀ˩ʔɲɯ˧˧kɯw˨˦hwa˧˩˨
cứu chữa	kɯw˨˦cɯə˧ˀ˥
cứu cánh	kɯw˨˦kɛŋ˨˦
cứu cơ	kɯw˨˦kɤ˧˧
cứu cấp	kɯw˨˦kɤ̆p˦˥
cứu dân độ thế	kɯw˨˦zɤ̆n˧˧do˨ˀ˩ʔtʰe˨˦
cứu giúp	kɯw˨˦zup˦˥
cứu gỡ	kɯw˨˦ɣɤ˧ˀ˥
cứu hoả	kɯw˨˦hwa˧˩˨
cứu hạn	kɯw˨˦han˨ˀ˩ʔ
cứu hộ	kɯw˨˦ho˨ˀ˩ʔ
cứu khốn phò nguy	kɯw˨˦xon˨˦fɔ˧˨ŋwi˧˧
cứu khốn phù nguy	kɯw˨˦xon˨˦fu˧˨ŋwi˧˧
cứu khổ	kɯw˨˦xo˧˩˨
cứu khổ cứu nạn	kɯw˨˦xo˧˩˨kɯw˨˦nan˨ˀ˩ʔ
cứu mệnh	kɯw˨˦meŋ˨ˀ˩ʔ
cứu nguy	kɯw˨˦ŋwi˧˧
cứu nhân	kɯw˨˦ɲɤ̆n˧˧
cứu nhân độ thế	kɯw˨˦ɲɤ̆n˧˧do˨ˀ˩ʔtʰe˨˦
cứu nước	kɯw˨˦nɯək˦˥
cứu quốc	kɯw˨˦kwok͡p˦˥
cứu quốc quân	kɯw˨˦kwok͡p˦˥kwɤ̆n˧˧
cứu rỗi	kɯw˨˦zoj˧ˀ˥
cứu sinh	kɯw˨˦siŋ˧˧
cứu thương	kɯw˨˦tʰɯəŋ˧˧
cứu thế	kɯw˨˦tʰe˨˦
cứu tinh	kɯw˨˦tiŋ˧˧
cứu trợ	kɯw˨˦cɤ˨ˀ˩ʔ
cứu tế	kɯw˨˦te˨˦
cứu tử	kɯw˨˦tɯ˧˩˨
cứu tử hoàn sinh	kɯw˨˦tɯ˧˩˨hwan˧˨siŋ˧˧
cứu viện	kɯw˨˦viən˨ˀ˩ʔ
cứu vong	kɯw˨˦vɔŋ͡m˧˧
cứu vãn	kɯw˨˦van˧ˀ˥
cứu vãn tình thế	kɯw˨˦van˧ˀ˥tiŋ˧˨tʰe˨˦
cứu vấn	kɯw˨˦vɤ̆n˨˦
cứu vớt	kɯw˨˦vɤt˦˥
cứu xét	kɯw˨˦sɛt˦˥
cứu đói	kɯw˨˦dɔj˨˦
cứu ứng	kɯw˨˦ɯŋ˨˦
cừ	kɯ˧˨
cừ khôi	kɯ˧˨xoj˧˧
cừu	kɯw˧˨
